Abstand,Zeit,Datum,Lange,Breite,Geschwindigkeit Fahrrad, Geschwindigkeit KFZ, Lange KFZ,checksumme
141.22,120715,190720,48.7077,9.14289,22.6165,527.066,71.9149,14478800000
203.251,121036,190720,48.7207,9.14472,24.7518,445.215,13.5891,20903900000
156.834,121403,190720,48.7288,9.15257,14.0436,144.346,3.61196,16195500000
174.124,121414,190720,48.7292,9.15327,22.4498,262.184,7.15458,17984100000
206.18,121604,190720,48.7327,9.15839,23.9055,871.244,19.9298,21341800000
166.382,122146,190720,48.7463,9.17326,11.6657,457.092,5.53956,17332000000
150.763,122733,190720,48.7531,9.1938,10.5397,555.413,9.71886,15817900000
214.583,123030,190720,48.7574,9.19428,20.5441,420.059,4.3775,22571600000
208.181,125421,190720,48.7912,9.20384,18.9329,305.398,10.3592,22362400000
199.151,125433,190720,48.792,9.20363,26.289,438.964,11.4735,21394300000
171.036,133139,190720,48.7994,9.17319,16.3975,613.469,17.9355,19441200000
207.907,134806,190720,48.7827,9.14847,20.2867,279.39,6.70531,23855500000
172.88,135208,190720,48.7749,9.13899,11.6064,174.018,2.57258,19871800000
180.563,135208,190720,48.7749,9.13899,11.6064,424.016,8.67509,20755000000
189.517,135208,190720,48.7749,9.13899,11.6064,401.035,4.34304,21784100000
181.084,135248,190720,48.7742,9.13873,12.6546,764.397,14.1245,20820100000
165.56,140211,190720,48.7648,9.12325,17.2365,872.027,12.6382,19696500000
138.369,142631,190720,48.7181,9.10914,23.2647,292.296,12.9787,16703900000
244.33,142658,190720,48.7184,9.11147,12.6491,513.037,23.5143,29508800000
191.792,142717,190720,48.7189,9.11324,20.8682,357.546,10.7579,23177900000
153.574,143035,190720,48.7204,9.12831,18.0791,647.117,11.5487,18631900000
195.102,143737,190720,48.7039,9.13893,22.9369,822.074,16.9817,23805900000
156.468,143825,190720,48.7033,9.1422,12.9121,272.734,10.6263,19110200000
160.75,144609,190720,48.6895,9.15013,17.868,3310.03,12.9886,19751700000
112.166,164146,30720,48.7572,9.14705,18.5477,765.592,36.4841,2522510000
118.604,170252,30720,48.7198,9.10662,24.5092,913.173,28.2567,2752170000
141.185,170545,30720,48.7181,9.11878,23.3332,752.275,3.9081,3286060000
206.583,174310,90720,48.7773,9.16485,5.72079,959.143,39.5475,14603700000
243.814,174603,90720,48.772,9.16303,10.7749,359.045,3.73353,17259300000
200.71,174839,90720,48.7682,9.15991,11.9472,124.926,4.21187,14221300000
175.952,175352,90720,48.7566,9.14362,24.3407,121.035,2.28989,12478400000
158.288,175621,90720,48.7519,9.13722,25.063,93.0004,1.97045,11234000000
223.195,175621,90720,48.7519,9.13722,25.063,650.519,7.63191,15840500000
201.488,175641,90720,48.7506,9.13685,24.6703,865.376,23.0045,14300600000
163.385,175649,90720,48.7502,9.1367,23.5592,197.988,11.7356,11596500000
180.814,175833,90720,48.7448,9.13426,23.5054,328.285,15.8,12842100000
115.598,175837,90720,48.7447,9.13412,17.7346,131.783,7.33072,8210280000
153.576,175844,90720,48.7443,9.13392,22.1294,304.846,14.2615,10907700000
135.168,175847,90720,48.7441,9.13383,17.3883,169.28,7.41216,9600330000
134.985,175855,90720,48.7437,9.13355,21.4016,196.001,7.24231,9587430000
87.9605,175859,90720,48.7435,9.13339,22.3331,119.358,3.3106,6247470000
141.79,180256,90720,48.7375,9.12802,0.727832,591.345,8.50454,10315200000
133.481,180302,90720,48.7375,9.12803,0.783391,255.872,1.8459,9713250000
144.66,180323,90720,48.7375,9.12808,3.56508,365.231,4.54201,10528000000
168.762,182136,90720,48.7076,9.14287,19.6533,615.56,2.43251,12418100000
132.655,182150,90720,48.707,9.14312,20.9145,276.01,24.7448,9762050000
172.736,182227,90720,48.7051,9.14346,21.2905,1455.46,115.588,12716900000
147.855,182721,90720,48.6905,9.15374,22.2646,479.907,9.31822,10923700000
153.65,182721,90720,48.6905,9.15374,22.2646,558.643,5.21188,11351800000
218.136,172427,130720,48.7579,9.14937,17.6217,465.858,12.1744,21933700000
151.173,172844,130720,48.7506,9.13689,24.0629,148.651,6.96734,15214200000
205.568,172934,130720,48.7479,9.13592,8.80436,853.625,12.0659,20695900000
211.751,174751,130720,48.7074,9.14298,14.3788,322.672,4.66052,21541200000
222.212,175611,130720,48.6891,9.15711,27.215,441.562,6.81407,22743200000
123.739,175620,130720,48.6888,9.15795,28.0224,431.338,13.3244,12666300000
183.354,171624,290620,48.775,9.17148,0.809319,21.0025,18.9921,40910100000
190.527,172537,290620,48.7573,9.14906,21.8424,282.845,23.6253,42616700000
180.26,173648,290620,48.7349,9.12252,17.0402,757.855,19.2655,40443600000
